Typical Measured Spectrum of Semrock FF01-586/20 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6,5) are measurement noise limited,
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5,5) are measurement noise limited, 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270,0	5,9913e-06
270,2	7,2291e-06
270,4	8,7226e-06
270,6	1,0525e-05
270,8	1,2699e-05
271,0	1,5323e-05
271,2	1,8489e-05
271,4	2,2308e-05
271,6	2,6917e-05
271,8	3,2478e-05
272,0	3,2279e-05
272,2	3,1822e-05
272,4	3,1372e-05
272,6	3,0928e-05
272,8	3,0491e-05
273,0	3,006e-05
273,2	2,9634e-05
273,4	2,9215e-05
273,6	2,8802e-05
273,8	2,8395e-05
274,0	2,2933e-05
274,2	1,7392e-05
274,4	1,3189e-05
274,6	1,0003e-05
274,8	7,5856e-06
275,0	5,7527e-06
275,2	4,3627e-06
275,4	3,3086e-06
275,6	2,5091e-06
275,8	1,9029e-06
276,0	1,6743e-06
276,2	1,6557e-06
276,4	1,6373e-06
276,6	1,6191e-06
276,8	1,6011e-06
277,0	1,5833e-06
277,2	1,5657e-06
277,4	1,5483e-06
277,6	1,531e-06
277,8	1,514e-06
278,0	1,5002e-06
278,2	1,4915e-06
278,4	1,483e-06
278,6	1,4744e-06
278,8	1,466e-06
279,0	1,4575e-06
279,2	1,4492e-06
279,4	1,4408e-06
279,6	1,4325e-06
279,8	1,4243e-06
280,0	1,4283e-06
280,2	1,5705e-06
280,4	1,7268e-06
280,6	1,8988e-06
280,8	2,0878e-06
281,0	2,2957e-06
281,2	2,5242e-06
281,4	2,7755e-06
281,6	3,0519e-06
281,8	3,3557e-06
282,0	3,3039e-06
282,2	3,2399e-06
282,4	3,1771e-06
282,6	3,1155e-06
282,8	3,0552e-06
283,0	2,996e-06
283,2	2,9379e-06
283,4	2,881e-06
283,6	2,8252e-06
283,8	2,7704e-06
284,0	2,7147e-06
284,2	2,6594e-06
284,4	2,6053e-06
284,6	2,5523e-06
284,8	2,5004e-06
285,0	2,4495e-06
285,2	2,3997e-06
285,4	2,3508e-06
285,6	2,303e-06
285,8	2,2561e-06
286,0	2,4055e-06
286,2	2,7338e-06
286,4	3,107e-06
286,6	3,5311e-06
286,8	4,0131e-06
287,0	4,5609e-06
287,2	5,1834e-06
287,4	5,8909e-06
287,6	6,6951e-06
287,8	7,6089e-06
288,0	7,4404e-06
288,2	5,6928e-06
288,4	4,3557e-06
288,6	3,3327e-06
288,8	2,5499e-06
289,0	1,951e-06
289,2	1,4928e-06
289,4	1,1421e-06
289,6	8,7388e-07
289,8	6,6863e-07
290,0	5,235e-07
290,2	5,1039e-07
290,4	4,9762e-07
290,6	4,8516e-07
290,8	4,7301e-07
291,0	4,6117e-07
291,2	4,4963e-07
291,4	4,3837e-07
291,6	4,274e-07
291,8	4,167e-07
292,0	4,0762e-07
292,2	3,9881e-07
292,4	3,902e-07
292,6	3,8176e-07
292,8	3,7351e-07
293,0	3,6544e-07
293,2	3,5755e-07
293,4	3,4982e-07
293,6	3,4226e-07
293,8	3,3486e-07
294,0	4,0418e-07
294,2	5,2129e-07
294,4	6,7234e-07
294,6	8,6715e-07
294,8	1,1184e-06
295,0	1,4425e-06
295,2	1,8604e-06
295,4	2,3995e-06
295,6	3,0947e-06
295,8	3,9914e-06
296,0	3,7909e-06
296,2	2,8582e-06
296,4	2,1551e-06
296,6	1,6249e-06
296,8	1,2251e-06
297,0	9,2371e-07
297,2	6,9646e-07
297,4	5,2512e-07
297,6	3,9593e-07
297,8	2,9852e-07
298,0	2,6919e-07
298,2	3,2306e-07
298,4	3,8772e-07
298,6	4,6533e-07
298,8	5,5846e-07
299,0	6,7023e-07
299,2	8,0438e-07
299,4	9,6537e-07
299,6	1,1586e-06
299,8	1,3905e-06
300,0	1,6012e-06
300,2	1,2708e-06
300,4	1,0086e-06
300,6	8,0047e-07
300,8	6,3531e-07
301,0	5,0422e-07
301,2	4,0018e-07
301,4	3,1761e-07
301,6	2,5208e-07
301,8	2,0006e-07
302,0	1,9496e-07
302,2	1,9205e-07
302,4	1,8919e-07
302,6	1,8637e-07
302,8	1,8359e-07
303,0	1,8085e-07
303,2	1,7815e-07
303,4	1,755e-07
303,6	1,7288e-07
303,8	1,703e-07
304,0	2,0992e-07
304,2	2,772e-07
304,4	3,6604e-07
304,6	4,8336e-07
304,8	6,3828e-07
305,0	8,4286e-07
305,2	1,113e-06
305,4	1,4697e-06
305,6	1,9408e-06
305,8	2,5628e-06
306,0	2,6585e-06
306,2	2,3156e-06
306,4	2,0169e-06
306,6	1,7567e-06
306,8	1,5301e-06
307,0	1,3327e-06
307,2	1,1608e-06
307,4	1,011e-06
307,6	8,806e-07
307,8	7,67e-07
308,0	6,7411e-07
308,2	6,0054e-07
308,4	5,35e-07
308,6	4,7662e-07
308,8	4,2461e-07
309,0	3,7827e-07
309,2	3,3699e-07
309,4	3,0021e-07
309,6	2,6745e-07
309,8	2,3826e-07
310,0	2,1403e-07
310,2	2,0565e-07
310,4	1,9759e-07
310,6	1,8985e-07
310,8	1,8241e-07
311,0	1,7526e-07
311,2	1,6839e-07
311,4	1,618e-07
311,6	1,5546e-07
311,8	1,4937e-07
312,0	1,472e-07
312,2	1,454e-07
312,4	1,4363e-07
312,6	1,4188e-07
312,8	1,4015e-07
313,0	1,3844e-07
313,2	1,3676e-07
313,4	1,3509e-07
313,6	1,3344e-07
313,8	1,3182e-07
314,0	1,3122e-07
314,2	1,3101e-07
314,4	1,308e-07
314,6	1,3059e-07
314,8	1,3038e-07
315,0	1,3017e-07
315,2	1,2996e-07
315,4	1,2975e-07
315,6	1,2954e-07
315,8	1,2933e-07
316,0	1,2894e-07
316,2	1,284e-07
316,4	1,2786e-07
316,6	1,2732e-07
316,8	1,2679e-07
317,0	1,2626e-07
317,2	1,2573e-07
317,4	1,2521e-07
317,6	1,2468e-07
317,8	1,2416e-07
318,0	1,2357e-07
318,2	1,2286e-07
318,4	1,2216e-07
318,6	1,2147e-07
318,8	1,2077e-07
319,0	1,2008e-07
319,2	1,194e-07
319,4	1,1872e-07
319,6	1,1804e-07
319,8	1,1736e-07
320,0	1,1677e-07
320,2	1,168e-07
320,4	1,1684e-07
320,6	1,1688e-07
320,8	1,1692e-07
321,0	1,1696e-07
321,2	1,17e-07
321,4	1,1704e-07
321,6	1,1707e-07
321,8	1,1711e-07
322,0	1,1746e-07
322,2	1,1783e-07
322,4	1,182e-07
322,6	1,1857e-07
322,8	1,1894e-07
323,0	1,1931e-07
323,2	1,1969e-07
323,4	1,2006e-07
323,6	1,2044e-07
323,8	1,2081e-07
324,0	1,1901e-07
324,2	1,1661e-07
324,4	1,1426e-07
324,6	1,1196e-07
324,8	1,0971e-07
325,0	1,075e-07
325,2	1,0534e-07
325,4	1,0322e-07
325,6	1,0114e-07
325,8	9,9102e-08
326,0	1,1123e-07
326,2	1,3669e-07
326,4	1,6796e-07
326,6	2,064e-07
326,8	2,5362e-07
327,0	3,1166e-07
327,2	3,8297e-07
327,4	4,706e-07
327,6	5,7828e-07
327,8	7,1059e-07
328,0	7,3775e-07
328,2	6,0978e-07
328,4	5,04e-07
328,6	4,1658e-07
328,8	3,4431e-07
329,0	2,8459e-07
329,2	2,3522e-07
329,4	1,9442e-07
329,6	1,6069e-07
329,8	1,3282e-07
330,0	1,1171e-07
330,2	1,0561e-07
330,4	9,9839e-08
330,6	9,4384e-08
330,8	8,9227e-08
331,0	8,4352e-08
331,2	7,9743e-08
331,4	7,5386e-08
331,6	7,1267e-08
331,8	6,7373e-08
332,0	7,7201e-08
332,2	8,9654e-08
332,4	1,0411e-07
332,6	1,2091e-07
332,8	1,4041e-07
333,0	1,6306e-07
333,2	1,8936e-07
333,4	2,199e-07
333,6	2,5537e-07
333,8	2,9657e-07
334,0	2,7046e-07
334,2	2,29e-07
334,4	1,939e-07
334,6	1,6418e-07
334,8	1,3901e-07
335,0	1,1771e-07
335,2	9,9663e-08
335,4	8,4387e-08
335,6	7,1452e-08
335,8	6,0499e-08
336,0	5,6173e-08
336,2	5,5533e-08
336,4	5,4901e-08
336,6	5,4275e-08
336,8	5,3657e-08
337,0	5,3046e-08
337,2	5,2442e-08
337,4	5,1845e-08
337,6	5,1254e-08
337,8	5,067e-08
338,0	5,0448e-08
338,2	5,071e-08
338,4	5,0973e-08
338,6	5,1237e-08
338,8	5,1503e-08
339,0	5,177e-08
339,2	5,2038e-08
339,4	5,2308e-08
339,6	5,2579e-08
339,8	5,2852e-08
340,0	5,3951e-08
340,2	6,1062e-08
340,4	6,911e-08
340,6	7,8218e-08
340,8	8,8526e-08
341,0	1,0019e-07
341,2	1,134e-07
341,4	1,2834e-07
341,6	1,4526e-07
341,8	1,644e-07
342,0	1,5474e-07
342,2	1,4349e-07
342,4	1,3306e-07
342,6	1,2338e-07
342,8	1,1441e-07
343,0	1,0609e-07
343,2	9,8377e-08
343,4	9,1224e-08
343,6	8,459e-08
343,8	7,8439e-08
344,0	7,2819e-08
344,2	6,7626e-08
344,4	6,2803e-08
344,6	5,8325e-08
344,8	5,4165e-08
345,0	5,0303e-08
345,2	4,6715e-08
345,4	4,3384e-08
345,6	4,029e-08
345,8	3,7417e-08
346,0	4,025e-08
346,2	4,7954e-08
346,4	5,7133e-08
346,6	6,8068e-08
346,8	8,1097e-08
347,0	9,6619e-08
347,2	1,1511e-07
347,4	1,3714e-07
347,6	1,6339e-07
347,8	1,9467e-07
348,0	2,1389e-07
348,2	2,1064e-07
348,4	2,0744e-07
348,6	2,0428e-07
348,8	2,0118e-07
349,0	1,9812e-07
349,2	1,951e-07
349,4	1,9214e-07
349,6	1,8922e-07
349,8	1,8634e-07
350,0	1,7998e-07
350,2	1,5352e-07
350,4	1,3096e-07
350,6	1,1171e-07
350,8	9,5288e-08
351,0	8,1282e-08
351,2	6,9334e-08
351,4	5,9142e-08
351,6	5,0449e-08
351,8	4,3033e-08
352,0	5,0923e-08
352,2	6,2243e-08
352,4	7,6079e-08
352,6	9,299e-08
352,8	1,1366e-07
353,0	1,3892e-07
353,2	1,6981e-07
353,4	2,0755e-07
353,6	2,5369e-07
353,8	3,1008e-07
354,0	2,7971e-07
354,2	2,2739e-07
354,4	1,8487e-07
354,6	1,5029e-07
354,8	1,2218e-07
355,0	9,933e-08
355,2	8,0753e-08
355,4	6,565e-08
355,6	5,3371e-08
355,8	4,3389e-08
356,0	4,3633e-08
356,2	5,1022e-08
356,4	5,9662e-08
356,6	6,9766e-08
356,8	8,158e-08
357,0	9,5395e-08
357,2	1,1155e-07
357,4	1,3044e-07
357,6	1,5253e-07
357,8	1,7836e-07
358,0	1,8766e-07
358,2	1,7164e-07
358,4	1,5699e-07
358,6	1,4359e-07
358,8	1,3134e-07
359,0	1,2013e-07
359,2	1,0988e-07
359,4	1,005e-07
359,6	9,1922e-08
359,8	8,4077e-08
360,0	8,0485e-08
360,2	1,0316e-07
360,4	1,3223e-07
360,6	1,6949e-07
360,8	2,1724e-07
361,0	2,7845e-07
361,2	3,5691e-07
361,4	4,5747e-07
361,6	5,8637e-07
361,8	7,5159e-07
362,0	5,818e-07
362,2	4,3233e-07
362,4	3,2126e-07
362,6	2,3872e-07
362,8	1,7739e-07
363,0	1,3182e-07
363,2	9,7953e-08
363,4	7,2788e-08
363,6	5,4088e-08
363,8	4,0192e-08
364,0	3,7422e-08
364,2	3,7342e-08
364,4	3,7262e-08
364,6	3,7183e-08
364,8	3,7103e-08
365,0	3,7024e-08
365,2	3,6945e-08
365,4	3,6866e-08
365,6	3,6787e-08
365,8	3,6709e-08
366,0	3,662e-08
366,2	3,6524e-08
366,4	3,6428e-08
366,6	3,6333e-08
366,8	3,6238e-08
367,0	3,6143e-08
367,2	3,6049e-08
367,4	3,5954e-08
367,6	3,586e-08
367,8	3,5767e-08
368,0	3,8328e-08
368,2	4,4761e-08
368,4	5,2274e-08
368,6	6,1048e-08
368,8	7,1295e-08
369,0	8,3262e-08
369,2	9,7237e-08
369,4	1,1356e-07
369,6	1,3262e-07
369,8	1,5488e-07
370,0	1,8156e-07
370,2	2,1749e-07
370,4	2,6053e-07
370,6	3,1209e-07
370,8	3,7385e-07
371,0	4,4783e-07
371,2	5,3646e-07
371,4	6,4262e-07
371,6	7,6979e-07
371,8	9,2212e-07
372,0	9,0655e-07
372,2	8,6865e-07
372,4	8,3233e-07
372,6	7,9753e-07
372,8	7,6419e-07
373,0	7,3224e-07
373,2	7,0162e-07
373,4	6,7229e-07
373,6	6,4418e-07
373,8	6,1725e-07
374,0	4,9159e-07
374,2	3,6626e-07
374,4	2,7288e-07
374,6	2,0331e-07
374,8	1,5148e-07
375,0	1,1286e-07
375,2	8,4085e-08
375,4	6,2648e-08
375,6	4,6676e-08
375,8	3,4776e-08
376,0	3,7043e-08
376,2	5,0847e-08
376,4	6,9796e-08
376,6	9,5806e-08
376,8	1,3151e-07
377,0	1,8052e-07
377,2	2,4779e-07
377,4	3,4012e-07
377,6	4,6687e-07
377,8	6,4085e-07
378,0	6,9157e-07
378,2	5,4603e-07
378,4	4,3111e-07
378,6	3,4038e-07
378,8	2,6874e-07
379,0	2,1218e-07
379,2	1,6753e-07
379,4	1,3227e-07
379,6	1,0443e-07
379,8	8,2454e-08
380,0	6,6432e-08
380,2	6,0305e-08
380,4	5,4743e-08
380,6	4,9695e-08
380,8	4,5112e-08
381,0	4,0951e-08
381,2	3,7175e-08
381,4	3,3746e-08
381,6	3,0634e-08
381,8	2,7809e-08
382,0	2,7344e-08
382,2	2,7169e-08
382,4	2,6994e-08
382,6	2,682e-08
382,8	2,6648e-08
383,0	2,6477e-08
383,2	2,6306e-08
383,4	2,6137e-08
383,6	2,5969e-08
383,8	2,5802e-08
384,0	2,5644e-08
384,2	2,549e-08
384,4	2,5338e-08
384,6	2,5185e-08
384,8	2,5034e-08
385,0	2,4884e-08
385,2	2,4735e-08
385,4	2,4586e-08
385,6	2,4439e-08
385,8	2,4292e-08
386,0	2,415e-08
386,2	2,4011e-08
386,4	2,3872e-08
386,6	2,3735e-08
386,8	2,3598e-08
387,0	2,3462e-08
387,2	2,3327e-08
387,4	2,3192e-08
387,6	2,3058e-08
387,8	2,2926e-08
388,0	2,5059e-08
388,2	3,0827e-08
388,4	3,7923e-08
388,6	4,6653e-08
388,8	5,7391e-08
389,0	7,0602e-08
389,2	8,6854e-08
389,4	1,0685e-07
389,6	1,3144e-07
389,8	1,617e-07
390,0	1,8593e-07
390,2	1,4581e-07
390,4	1,1435e-07
390,6	8,9676e-08
390,8	7,0327e-08
391,0	5,5153e-08
391,2	4,3253e-08
391,4	3,392e-08
391,6	2,6601e-08
391,8	2,0862e-08
392,0	2,0261e-08
392,2	2,0151e-08
392,4	2,0041e-08
392,6	1,9932e-08
392,8	1,9823e-08
393,0	1,9715e-08
393,2	1,9608e-08
393,4	1,9501e-08
393,6	1,9395e-08
393,8	1,929e-08
