References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell,LCSC,JLC Assembly
A1,1,Adafruit Huzzah32 - ESP32 Feather,Adafruit Industries,3405,,,,,1528-2181-ND,4853405,,,,,
A2,1,Adafruit TLC5947,Adafruit Industries,1429,,,,,1528-1185-ND,4851429,,,,,
J1;J2,2,BNC coaxial connectors,TE,1-1337542-0,TE Connectivity,1-1337542-0,,,A97552-ND,571113375420,,,1020954,,
J3,8,2 way JST Female Connector Housing,JST,XHP-2,,,,,455-2266-ND,,8201611,,1516264,,
J4,1,3 way JST Female Connector Housing,JST,XHP-3,,,,,455-2219-ND,,8201614,,1516265,,
J5,2,4 way JST Female Connector Housing,JST,XHP-4,,,,,455-2267-ND,,8201618,,1516266,,
J6,8,2 way JST PCB header,JST,B2B-XH-A(LF)(SN),,,,,455-2247-ND,,8201554,,1516276,,
J7,1,3 way JST PCB header,JST,B3B-XH-A(LF)(SN),,,,,455-2248-ND,,8201557,,1516277,,
J8,2,4 way JST PCB header,JST,B4B-XH-A(LF)(SN),,,,,455-2249-ND,,8201551,,1516278,,
J9,15,JST Crimp Connector Wire,JST,01SHXSXH-26L 150,JST,ASXHSXH22K305,,,455-3241-ND,,01SHXSXH26L 150,,,,
L1,4,3 mm LED,Dialight,5219210F,,,,,350-1557-ND,,,,,,
L2,4,Mount for 3 mm LED,Lumex,SSH-LX3050,,,,,67-1330-ND,696SSHLX3050,,,7604956,,
L3,4,Mount for 5 mm LED,Lumex,SSH-LX5091,,,,,67-1332-ND,696SSHLX5091,8886473,,7604970,,
S1,1,Rocker LED switch,,,,,,,EG1859-ND,612R1966ABKBKESG,,,2830590,,
R1,1,220 Ohms Resitor,RS Pro,707-7612,RS Pro,7077612,,,,,7077612,,,,
R2,1,470 Ohms Resitor,RS Pro,707-7647,RS Pro,7077647,Viking Tech,RS-CARBON-470R-5%-0.25W,,,7077647P,,,,
J10,5,PCB socket,Samtec,SSW-116-02-G-S,,,,,SSW-116-02-G-S-ND,200SSW11602GS,7655795P,,1668394,,
S2,1,2.1 mm right angle DC socket,RS Pro,884-0957,RS Pro,8840957,Cliff,FC681478,3185-FC681478-ND,,8840957,,2450496,,
